catalog,catalog_hier1,catalog_hier2,catalog_hier3,catalog_hier4,med_grp
abciximab,hematological agents - misc.,platelet aggregation inhibitors,glycoprotein iib/iiia receptor inhibitors,abciximab,rx_2b3ai_table
eptifibatide,hematological agents - misc.,platelet aggregation inhibitors,glycoprotein iib/iiia receptor inhibitors,eptifibatide,rx_2b3ai_table
tirofiban,hematological agents - misc.,platelet aggregation inhibitors,glycoprotein iib/iiia receptor inhibitors,tirofiban hcl in nacl,rx_2b3ai_table
tirofiban hcl in nacl,hematological agents - misc.,platelet aggregation inhibitors,glycoprotein iib/iiia receptor inhibitors,tirofiban hcl in nacl,rx_2b3ai_table
benazepril,antihypertensives,ace inhibitors,ace inhibitors,benazepril hcl,rx_acei_table
benazepril hcl,antihypertensives,ace inhibitors,ace inhibitors,benazepril hcl,rx_acei_table
captopril,antihypertensives,ace inhibitors,ace inhibitors,captopril,rx_acei_table
enalapril,antihypertensives,ace inhibitors,ace inhibitors,enalapril maleate,rx_acei_table
enalapril maleate,antihypertensives,ace inhibitors,ace inhibitors,enalapril maleate,rx_acei_table
enalapril,antihypertensives,ace inhibitors,ace inhibitors,enalaprilat,rx_acei_table
enalaprilat,antihypertensives,ace inhibitors,ace inhibitors,enalaprilat,rx_acei_table
fosinopril,antihypertensives,ace inhibitors,ace inhibitors,fosinopril sodium,rx_acei_table
fosinopril sodium,antihypertensives,ace inhibitors,ace inhibitors,fosinopril sodium,rx_acei_table
azithromycin,antihypertensives,ace inhibitors,ace inhibitors,lisinopril,rx_acei_table
lisinopril,antihypertensives,ace inhibitors,ace inhibitors,lisinopril,rx_acei_table
moexipril,antihypertensives,ace inhibitors,ace inhibitors,moexipril hcl,rx_acei_table
moexipril hcl,antihypertensives,ace inhibitors,ace inhibitors,moexipril hcl,rx_acei_table
perindopril,antihypertensives,ace inhibitors,ace inhibitors,perindopril erbumine,rx_acei_table
perindopril erbumine,antihypertensives,ace inhibitors,ace inhibitors,perindopril erbumine,rx_acei_table
captopril,antihypertensives,ace inhibitors,ace inhibitors,quinapril hcl,rx_acei_table
quinapril,antihypertensives,ace inhibitors,ace inhibitors,quinapril hcl,rx_acei_table
quinapril hcl,antihypertensives,ace inhibitors,ace inhibitors,quinapril hcl,rx_acei_table
ramipril,antihypertensives,ace inhibitors,ace inhibitors,ramipril,rx_acei_table
trandolapril,antihypertensives,ace inhibitors,ace inhibitors,trandolapril,rx_acei_table
benazepril-hydrochlorothiazide,antihypertensives,antihypertensive combinations,ace inhibitors & thiazide/thiazide-like,benazepril-hydrochlorothiazide,rx_acei_table
captopril-hydrochlorothiazide,antihypertensives,antihypertensive combinations,ace inhibitors & thiazide/thiazide-like,captopril-hydrochlorothiazide,rx_acei_table
enalapril-hydrochlorothiazide,antihypertensives,antihypertensive combinations,ace inhibitors & thiazide/thiazide-like,enalapril-hydrochlorothiazide,rx_acei_table
fosinopril sodium-hctz,antihypertensives,antihypertensive combinations,ace inhibitors & thiazide/thiazide-like,fosinopril sodium-hctz,rx_acei_table
fosinopril-hydrochlorothiazide,antihypertensives,antihypertensive combinations,ace inhibitors & thiazide/thiazide-like,fosinopril sodium-hctz,rx_acei_table
hydrochlorothiazide-lisinopril,antihypertensives,antihypertensive combinations,ace inhibitors & thiazide/thiazide-like,lisinopril-hydrochlorothiazide,rx_acei_table
lisinopril-hydrochlorothiazide,antihypertensives,antihypertensive combinations,ace inhibitors & thiazide/thiazide-like,lisinopril-hydrochlorothiazide,rx_acei_table
hydrochlorothiazide-moexipril,antihypertensives,antihypertensive combinations,ace inhibitors & thiazide/thiazide-like,moexipril-hydrochlorothiazide,rx_acei_table
moexipril-hydrochlorothiazide,antihypertensives,antihypertensive combinations,ace inhibitors & thiazide/thiazide-like,moexipril-hydrochlorothiazide,rx_acei_table
hydrochlorothiazide-quinapril,antihypertensives,antihypertensive combinations,ace inhibitors & thiazide/thiazide-like,quinapril-hydrochlorothiazide,rx_acei_table
quinapril-hydrochlorothiazide,antihypertensives,antihypertensive combinations,ace inhibitors & thiazide/thiazide-like,quinapril-hydrochlorothiazide,rx_acei_table
oxandrolone,androgens-anabolic,anabolic steroids,anabolic steroids,oxandrolone,rx_androgens_table
nandrolone decanoate,androgens-anabolic,anabolic steroids,anabolic steroids,,rx_androgens_table
danazol,androgens-anabolic,androgens,androgens,danazol,rx_androgens_table
fluoxymesterone,androgens-anabolic,androgens,androgens,fluoxymesterone,rx_androgens_table
